Product_Name,Brand,RAM,Offer,Ratings,Selling_Price,Total,Processor_Brand,Processor
Lenovo Athlon Dual Core ,Lenovo,4 GB,40% ,4.2,17990,29999,AMD,AMD Athlon Dual Core Processor
HP Chromebook MediaTek Kompanio 500 ,HP,4 GB,28% ,3.8,18250,25451,MediaTek,MediaTek MediaTek Kompanio 500 Processor
ASUS Chromebook Celeron Dual Core ,ASUS,4 GB,11% ,3.5,19490,21990,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,32% ,4.1,23490,34990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
ASUS EeeBook 12 Celeron Dual Core ,ASUS,4 GB,46% ,4.4,14990,27990,Intel,Intel Celeron Dual Core Processor
ASUS EeeBook 12 Celeron Dual Core ,ASUS,4 GB,46% ,3.7,14990,27990,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,37% ,4.2,24990,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,48% ,4.1,12990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Primebook 4G enabled Android based MediaTek Kompanio 500 ,Primebook,4 GB,50% ,4.2,13990,27990,MediaTek,MediaTek MediaTek Kompanio 500 Processor
ASUS Vivobook Go 15 Celeron Dual Core ,ASUS,8 GB,32% ,4.0,24990,36990,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,37% ,4.2,24990,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,42% ,4.2,28990,49990,Intel,Intel Core i3 Processor (10th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,32% ,4.2,47990,70790,Intel,Intel Core i5 Processor (11th Gen)
ASUS (2022) Celeron Dual Core ,ASUS,4 GB,32% ,4.2,20990,30990,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,37% ,4.2,24990,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,Lenovo,4 GB,52% ,3.7,18990,39990,Intel,Intel Celeron Dual Core Processor
Lenovo Lenovo V15 Celeron Dual Core 4th Gen ,Lenovo,8 GB,45% ,3.9,22799,42032,Intel,Intel Celeron Dual Core Processor (4th Gen)
Acer Aspire 3 Dual Core 3020e ,Acer,4 GB,34% ,4.0,22900,34990,AMD,AMD Dual Core Processor
ASUS Celeron Dual Core 10th Gen ,ASUS,4 GB,35% ,4.2,23750,36990,Intel,Intel Celeron Dual Core Processor (10th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core ,Infinix,4 GB,26% ,4.1,21990,29990,Intel,Intel Celeron Quad Core Processor
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,33% ,4.2,36950,55490,Intel,Intel Core i3 Processor (11th Gen)
HP 247 G8 Athlon Dual Core AMD Athlon P3045B ,HP,8 GB,33% ,3.9,21990,33267,AMD,AMD Athlon Dual Core Processor
ASUS Chromebook Celeron Dual Core ,ASUS,4 GB,13% ,4.2,25990,29990,Intel,Intel Celeron Dual Core Processor
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,43% ,4.1,33990,60090,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,41% ,4.2,38990,66390,Intel,Intel Core i3 Processor (12th Gen)
Acer One 11 Celeron Dual Core ,Acer,4 GB,40% ,4.2,21490,35999,Intel,Intel Celeron Dual Core Processor
Lenovo IdeaPad 3 CB Celeron Dual Core ,Lenovo,4 GB,34% ,3.4,22990,34890,Intel,Intel Celeron Dual Core Processor
ASUS EeeBook 12 Celeron Dual Core 4th Gen ,ASUS,4 GB,19% ,3.9,20990,25990,Intel,Intel Celeron Dual Core Processor (4th Gen)
CHUWI Core i3 10th Gen ,CHUWI,8 GB,54% ,4.2,22990,49990,Intel,Intel Core i3 Processor (10th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen ,Lenovo,16 GB,42% ,4.2,48990,84590,Intel,Intel Core i5 Processor (11th Gen)
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,43% ,4.5,65990,116090,AMD,AMD Ryzen 7 Octa Core Processor
HP 15s (2023) Ryzen 3 Dual Core 3250U ,HP,8 GB,25% ,4.1,29990,39995,AMD,AMD Ryzen 3 Dual Core Processor
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,ASUS,8 GB,30% ,4.3,52990,75990,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,32% ,4.2,47990,70790,Intel,Intel Core i5 Processor (11th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,42% ,4.2,28990,49990,Intel,Intel Core i3 Processor (10th Gen)
ASUS Vivobook 15 Core i3 11th Gen ,ASUS,8 GB,30% ,4.2,34990,49990,Intel,Intel Core i3 Processor (11th Gen)
realme Book (Slim) Core i3 11th Gen ,realme,8 GB,41% ,4.2,31999,54999,Stylish,Stylish & Portable Thin and Light Laptop
HP 15s (2023) Athlon Dual Core 3050U ,HP,8 GB,20% ,4.0,27990,35147,AMD,AMD Athlon Dual Core Processor
ASUS Vivobook 15 Core i5 11th Gen ,ASUS,8 GB,41% ,4.2,40990,69990,Intel,Intel Core i5 Processor (11th Gen)
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,Lenovo,4 GB,52% ,3.7,18990,39990,Intel,Intel Celeron Dual Core Processor
MSI Bravo 15 Ryzen 7 Octa Core 5800H ,MSI,8 GB,25% ,4.5,51990,69990,AMD,AMD Ryzen 7 Octa Core Processor
APPLE 2020 Macbook Air M1 ,APPLE,8 GB,23% ,4.7,75990,99900,Apple,Apple M1 Processor
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,33% ,4.2,36950,55490,Intel,Intel Core i3 Processor (11th Gen)
HP 15s (2023) Intel Core i3 12th Gen ,HP,8 GB,21% ,4.4,39990,51266,Intel,Intel Core i3 Processor (12th Gen)
HP Ryzen 5 Hexa Core 5500U ,HP,16 GB,22% ,4.3,45990,59109,AMD,AMD Ryzen 5 Hexa Core Processor
HP 15s (2023) Intel Core i5 11th Gen ,HP,16 GB,10% ,4.3,52990,59237,Intel,Intel Core i5 Processor (11th Gen)
Lenovo V15 Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,49% ,4.2,34990,69525,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,43% ,4.1,33990,60090,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,41% ,4.2,38990,66390,Intel,Intel Core i3 Processor (12th Gen)
DELL Inspiron Core i3 11th Gen ,DELL,8 GB,28% ,4.1,37990,52997,Intel,Intel Core i3 Processor (11th Gen)
Lenovo Intel Celeron Dual Core ,Lenovo,8 GB,43% ,4.1,25999,46090,Intel,Intel Celeron Dual Core Processor
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,43% ,4.5,65990,116090,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen ,Lenovo,16 GB,42% ,4.2,48990,84590,Intel,Intel Core i5 Processor (11th Gen)
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,33% ,4.2,79990,120290,AMD,AMD Ryzen 7 Octa Core Processor
HP 14s Intel Core i3 11th Gen ,HP,8 GB,23% ,4.3,37990,49509,Intel,Intel Core i3 Processor (11th Gen)
MSI Ryzen 5 Hexa Core 7530U ,MSI,16 GB,32% ,4.4,43990,64990,AMD,AMD Ryzen 5 Hexa Core Processor
HP Pavilion Ryzen 5 Hexa Core 5625U ,HP,8 GB,16% ,4.2,53990,64492,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix X1 Slim Series Core i5 10th Gen ,Infinix,8 GB,38% ,4.2,36990,59999,Intel,Intel Core i5 Processor (10th Gen)
ASUS Vivobook S 14 Intel EVO H,ASUS,16 GB,30% ,4.2,55990,80990,Intel,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,32% ,4.2,47990,70790,Intel,Intel Core i5 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,41% ,4.2,38990,66390,Intel,Intel Core i3 Processor (12th Gen)
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,33% ,4.2,36950,55490,Intel,Intel Core i3 Processor (11th Gen)
Acer One Core i3 11th Gen ,Acer,8 GB,33% ,4.1,27990,41999,Intel,Intel Core i3 Processor (11th Gen)
DELL Inspiron Core i5 11th Gen ,DELL,8 GB,20% ,4.2,49490,62234,Intel,Intel Core i5 Processor (11th Gen)
HP 15s Intel Core i3 12th Gen ,HP,8 GB,27% ,4.3,40990,56261,Intel,Intel Core i3 Processor (12th Gen)
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,43% ,4.1,33990,60090,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen ,Lenovo,16 GB,42% ,4.2,48990,84590,Intel,Intel Core i5 Processor (11th Gen)
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen ,SAMSUNG,16 GB,20% ,4.2,89990,112990,Intel,Intel Core i7 Processor (13th Gen)
HP 15s Intel Core i5 12th Gen ,HP,8 GB,20% ,4.2,53990,67832,Intel,Intel Core i5 Processor (12th Gen)
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,43% ,4.5,65990,116090,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,Lenovo,4 GB,52% ,3.7,18990,39990,Intel,Intel Celeron Dual Core Processor
HP Victus Core i5 12th Gen ,HP,8 GB,15% ,4.2,62890,74829,Intel,Intel Core i5 Processor (12th Gen)
HP Victus Ryzen 5 Hexa Core 5600H ,HP,16 GB,19% ,4.2,64990,80587,AMD,AMD Ryzen 5 Hexa Core Processor
"ASUS Vivobook Pro 15 For Creator, Ryzen 7 Octa Core 5800H ",ASUS,16 GB,15% ,4.3,74990,88990,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,43% ,4.0,37990,67090,Intel,Intel Core i3 Processor (12th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,32% ,4.2,47990,70790,Intel,Intel Core i5 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,43% ,4.1,33990,60090,Intel,Intel Core i3 Processor (11th Gen)
APPLE 2022 MacBook AIR M2 ,APPLE,8 GB,10% ,4.8,107910,119900,Apple,Apple M2 Processor
HP Pavilion Ryzen 5 Hexa Core 5625U ,HP,8 GB,13% ,4.2,52990,61023,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,33% ,4.2,36950,55490,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,41% ,4.2,38990,66390,Intel,Intel Core i3 Processor (12th Gen)
HP Pavilion Intel Core i5 12th Gen ,HP,16 GB,14% ,4.3,65990,77142,Intel,Intel Core i5 Processor (12th Gen)
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 ,SAMSUNG,4 GB,37% ,4.0,29990,47990,Qualcomm,Qualcomm Snapdragon 7c Gen 2 Processor
ASUS Vivobook 14 (2021) Core i5 11th Gen ,ASUS,16 GB,28% ,4.2,44990,62990,Intel,Intel Core i5 Processor (11th Gen)
ASUS Vivobook S 14 Intel EVO H,ASUS,16 GB,35% ,4.2,55990,86990,Intel,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen ,Lenovo,16 GB,42% ,4.2,48990,84590,Intel,Intel Core i5 Processor (11th Gen)
Lenovo IdeaPad 3 Intel Core i5 11th Gen ,Lenovo,8 GB,30% ,4.2,44990,64290,Intel,Intel Core i5 Processor (11th Gen)
Acer Extensa (2023) Ryzen 5 Quad Core 7520U ,Acer,8 GB,28% ,4.0,36990,51999,Stylish,Stylish & Portable Thin and Light Laptop
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen ,Lenovo,8 GB,41% ,4.2,36990,63190,Intel,Intel Core i3 Processor (11th Gen)
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,43% ,4.5,65990,116090,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad 3 Intel Core i5 12th Gen ,Lenovo,16 GB,33% ,4.2,54990,82490,Intel,Intel Core i5 Processor (12th Gen)
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 6800HS ,ASUS,16 GB,39% ,4.9,105990,175990,AMD,AMD Ryzen 7 Octa Core Processor
MSI Core i5 11th Gen ,MSI,8 GB,29% ,4.2,47990,67990,Intel,Intel Core i5 Processor (11th Gen)
realme Book Prime Core i5 11th Gen ,realme,16 GB,36% ,4.2,47990,74999,Intel,Intel Core i5 Processor (11th Gen)
ASUS Vivobook Go 15 Celeron Dual Core ,ASUS,8 GB,28% ,4.2,27990,38990,Intel,Intel Celeron Dual Core Processor
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen ,Lenovo,8 GB,39% ,4.2,38990,64290,Intel,Intel Core i3 Processor (12th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen ,Lenovo,16 GB,28% ,4.2,65990,92290,Intel,Intel Core i5 Processor (12th Gen)
ASUS VivoBook 16X Ryzen 7 Octa Core 5800H ,ASUS,16 GB,28% ,4.5,61990,86990,AMD,AMD Ryzen 7 Octa Core Processor
HP Victus Gaming Ryzen 5 Hexa Core 5600H ,HP,8 GB,20% ,4.0,52990,66769,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,Lenovo,4 GB,52% ,3.7,18990,39990,Intel,Intel Celeron Dual Core Processor
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,32% ,4.2,47990,70790,Intel,Intel Core i5 Processor (11th Gen)
HP 15s (2023) Intel Core i5 13th Gen ,HP,8 GB,15% ,4.2,65990,78447,Intel,Intel Core i5 Processor (13th Gen)
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U ,Lenovo,16 GB,46% ,4.3,45990,86290,AMD,AMD Ryzen 5 Hexa Core Processor
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,30% ,4.4,42990,61990,AMD,AMD Ryzen 3 Quad Core Processor
DELL Core i3 12th Gen ,DELL,8GB,34% ,4.2,41090,62841,Processor:,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores
Lenovo Ideapad Gaming 3 AMD Ryzen 5 Hexa Core 5600H ,Lenovo,8 GB,34% ,4.3,47990,72990,AMD,AMD Ryzen 5 Hexa Core Processor
ASUS Vivobook S14 OLED Intel EVO H,ASUS,16 GB,32% ,4.4,66990,98990,Intel,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,33% ,4.2,36950,55490,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,41% ,4.2,38990,66390,Intel,Intel Core i3 Processor (12th Gen)
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,29% ,4.2,35990,50990,AMD,AMD Ryzen 3 Quad Core Processor
ASUS TUF Gaming F15 Core i5 10th Gen ,ASUS,8 GB,28% ,4.2,53990,74990,Intel,Intel Core i5 Processor (10th Gen)
ASUS Vivobook S 14 Intel EVO H,ASUS,8 GB,36% ,4.2,52990,82990,Intel,Intel Core i5 Processor (12th Gen)
DELL Inspiron Core i5 11th Gen ,DELL,16 GB,31% ,4.0,56490,83022,Intel,Intel Core i5 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,43% ,4.1,33990,60090,Intel,Intel Core i3 Processor (11th Gen)
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,43% ,4.5,65990,116090,AMD,AMD Ryzen 7 Octa Core Processor
ASUS Vivobook 16 (2023) Core i3 13th Gen ,ASUS,8 GB,26% ,4.7,45990,62990,Intel,Intel Core i3 Processor (13th Gen)
Infinix INBook X2 Plus Core i3 11th Gen ,Infinix,8 GB,31% ,4.1,30990,44990,Intel,Intel Core i3 Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen ,Lenovo,16 GB,42% ,4.2,48990,84590,Intel,Intel Core i5 Processor (11th Gen)
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U ,HP,16 GB,17% ,4.4,55990,68083,AMD,AMD Ryzen 5 Hexa Core Processor
DELL Core i5 12th Gen ,DELL,8GB,24% ,4.1,54490,72180,Processor:,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores
MSI Ryzen 5 Hexa Core 7530U ,MSI,8 GB,33% ,4.4,40990,61990,AMD,AMD Ryzen 5 Hexa Core Processor
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,44% ,4.2,33990,60890,Intel,Intel Core i3 Processor (11th Gen)
Lenovo Slim 3 Chromebook Touch Intel Celeron Dual Core ,Lenovo,4 GB,52% ,3.7,18990,39990,Intel,Intel Celeron Dual Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H ,ASUS,16 GB,18% ,4.4,87990,107990,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,38% ,4.2,99990,162290,AMD,AMD Ryzen 7 Octa Core Processor
HP Chromebook MediaTek Kompanio 500 ,HP,4 GB,33% ,3.8,16990,25451,MediaTek,MediaTek MediaTek Kompanio 500 Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,37% ,4.2,24990,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,42% ,4.2,28990,49990,Intel,Intel Core i3 Processor (10th Gen)
ASUS TUF Gaming F15 Core i5 10th Gen ,ASUS,8 GB,26% ,4.4,56990,77990,Intel,Intel Core i5 Processor (10th Gen)
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,30% ,4.4,42990,61990,AMD,AMD Ryzen 3 Quad Core Processor
HP Ryzen 3 Quad Core R3 3250 ,HP,8 GB,19% ,4.2,29990,37188,AMD,AMD Ryzen 3 Quad Core Processor
Infinix INBook X1 Neo Series Celeron Quad Core ,Infinix,4 GB,26% ,4.1,21990,29990,Intel,Intel Celeron Quad Core Processor
HP Chromebook x360 Intel Celeron Dual Core ,HP,4 GB,44% ,4.2,17990,32295,Intel,Intel Celeron Dual Core Processor
HP 15s (2023) Intel Core i5 13th Gen ,HP,8 GB,14% ,4.3,61990,72780,Intel,Intel Core i5 Processor (13th Gen)
ASUS Vivobook 14 Touchscreen Intel P,ASUS,8 GB,31% ,4.2,42990,62990,Intel,Intel Core i3 Processor (12th Gen)
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,32% ,4.1,23490,34990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen ,SAMSUNG,16 GB,20% ,4.6,89990,112990,Intel,Intel Core i7 Processor (13th Gen)
ASUS Vivobook 15 Core i3 11th Gen ,ASUS,16 GB,22% ,4.2,38990,49990,Intel,Intel Core i3 Processor (11th Gen)
HP Ryzen 3 Quad Core 5300U ,HP,8 GB,24% ,4.2,35490,47147,AMD,AMD Ryzen 3 Quad Core Processor
HP Victus Ryzen 7 Octa Core 5800H ,HP,16 GB,21% ,4.3,74990,95554,AMD,AMD Ryzen 7 Octa Core Processor
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen ,Infinix,8 GB,37% ,4.2,24990,39990,Intel,Intel Celeron Quad Core Processor (11th Gen)
HP Chromebook x360 Intel Celeron Quad Core ,HP,4 GB,44% ,3.7,17990,32295,Intel,Intel Celeron Quad Core Processor
MSI Prestige 14 Core i7 10th Gen ,MSI,16 GB,41% ,4.0,72500,123990,Intel,Intel Core i7 Processor (10th Gen)
"ASUS Vivobook 14X OLED (2023) For Creator, Intel H",ASUS,16 GB,25% ,4.2,82990,110990,Intel,Intel Core i5 Processor (13th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,32% ,4.2,47990,70790,Intel,Intel Core i5 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,43% ,4.1,33990,60090,Intel,Intel Core i3 Processor (11th Gen)
Acer Extensa Core i3 11th Gen ,Acer,8 GB,27% ,4.2,34990,47999,Intel,Intel Core i3 Processor (11th Gen)
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800H ,ASUS,16 GB,36% ,4.4,122990,194990,AMD,AMD Ryzen 7 Octa Core Processor
MSI Core i7 12th Gen ,MSI,16 GB,19% ,3.8,92990,115990,Intel,Intel Core i7 Processor (12th Gen)
ASUS Vivobook 14 (2023) Core i3 13th Gen ,ASUS,8 GB,20% ,4.2,45990,57990,Intel,Intel Core i3 Processor (13th Gen)
Lenovo IdeaPad 3 Intel Core i3 11th Gen ,Lenovo,8 GB,33% ,4.2,36950,55490,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen ,Lenovo,16 GB,42% ,4.2,48990,84590,Intel,Intel Core i5 Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,16 GB,43% ,4.3,72990,129990,Intel,Intel Core i9 Processor (12th Gen)
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX ,ASUS,16 GB,37% ,5.0,159990,253990,AMD,AMD Ryzen 9 Octa Core Processor
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,41% ,4.2,38990,66390,Intel,Intel Core i3 Processor (12th Gen)
Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H ,Lenovo,16 GB,43% ,4.5,65990,116090,AMD,AMD Ryzen 7 Octa Core Processor
ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX ,ASUS,32 GB,10% ,4.2,429990,479990,AMD,AMD Ryzen 9 16 Core Processor
APPLE 2022 MacBook AIR M2 ,APPLE,8 GB,9% ,4.8,107990,119900,Apple,Apple M2 Processor
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen ,ASUS,8 GB,23% ,4.5,50990,66990,Get,Get unparalleled power and reliability with the new Intel 12th Gen CPU
DELL Core i7 11th Gen ,DELL,16GB,33% ,4.0,84990,128665,Processor:,Processor: Intel i7-11800H- (2.30 GHz up to 4.60 GHz) 16MB L3
Lenovo IdeaPad 3 Intel Core i5 12th Gen ,Lenovo,16 GB,33% ,4.2,54990,82490,Intel,Intel Core i5 Processor (12th Gen)
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen ,Lenovo,8 GB,39% ,4.2,38990,64290,Intel,Intel Core i3 Processor (12th Gen)
ASUS Vivobook 15X (2023) Core i5 13th Gen ,ASUS,16 GB,19% ,4.2,64990,80990,Intel,Intel Core i5 Processor (13th Gen)
ASUS ROG Strix SCAR 16 (2023) with 90WHr Battery Intel HX,ASUS,32 GB,15% ,4.2,279990,329990,Intel,Intel Core i9 Processor (13th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen ,Lenovo,16 GB,28% ,4.2,65990,92290,Intel,Intel Core i5 Processor (12th Gen)
Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen ,Lenovo,16 GB,31% ,4.2,51990,76090,Intel,Intel Core i5 Processor (11th Gen)
